service_type,lat,lng,name,district,area_name
medical,37.4574903,127.1511401,더신중한치과의원,수정구,태평1동
pharmacy,37.451326,127.148249,행복약국,수정구,태평1동
bus,37.4446929,127.1271518,수진리고개.태평고개,성남시,태평1동
medical,37.4395045,127.1281746,뷰라인치과의원,수정구,수진2동
pharmacy,37.4574903,127.1511401,바른수약국,수정구,수진2동
bus,37.4365039,127.1382943,MD아파트,성남시,수진2동
medical,37.46872,127.1264519,서울진정신건강의학과의원,수정구,복정동
pharmacy,37.4732945,127.1407942,센트럴약국,수정구,복정동
bus,37.4617392,127.1262087,복정초등학교,성남시,복정동
medical,37.4579226,127.1648025,100세 플란트치과의원,중원구,은행2동
pharmacy,37.4614275,127.1681653,우리산성약국,중원구,은행2동
bus,37.4575286,127.1652474,남한산성시장,성남시,은행2동
medical,37.44731,127.170178,성남요양병원,중원구,금광1동
pharmacy,37.44731,127.170178,새금빛약국,중원구,금광1동
bus,37.4476421,127.1582581,단대동행정복지센터.성남만남지역자활센터,성남시,금광1동
medical,37.4417889,127.1700929,의료법인메디피아 메디피움성남의원,중원구,상대원1동
pharmacy,37.4339939,127.1594981,참약사천사약국,중원구,상대원1동
bus,37.4348121,127.1696058,파리크라상.삼영전자,성남시,상대원1동
medical,37.3883189,127.1239691,호두정신건강의학과의원,분당구,서현1동
pharmacy,37.3737399,127.1370546,서현새봄약국,분당구,서현1동
bus,37.3845828,127.1237109,AK플라자2층,성남시,서현1동
medical,37.4109058,127.1299225,더하기빼기의원,분당구,야탑3동
pharmacy,37.4120125,127.1272658,야탑선약국,분당구,야탑3동
bus,37.4094292,127.1384569,목련마을1단지.하탑중학교.중탑동사거리,성남시,야탑3동
medical,37.3653849,127.1072015,창덕궁한의원,분당구,정자동
pharmacy,37.3685285,127.106398,정자약국,분당구,정자동
bus,37.3892245,127.097691,판교동행정복지센터,성남시,정자동
medical,37.3492773,127.1084024,미금세브란스치과의원,분당구,구미동
pharmacy,37.3373339,127.1158038,유약국,분당구,구미동
bus,37.3398996,127.1217275,건영아파트.구미동성당,성남시,구미동
care,37.451083507158,127.152906546913,수정노인종합복지관,성남시,
care,37.461634114491,127.130466891844,수정중앙노인종합복지관,성남시,
care,37.432207311291,127.131537317533,중원노인종합복지관,성남시,
care,37.44198459087,127.169193675279,황송노인종합복지관,성남시,
care,37.357512,127.11239,분당노인종합복지관,성남시,
care,37.390259866526,127.108656534823,판교노인종합복지관,성남시,
